Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,7.466,7.485,5.77,5.562,5.359,5.163,4.976,4.8,4.633,4.473,4.321,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2.978,2.157,1.673,1.684,1.69,1.688,1.677,1.659,1.638,1.617,1.597,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,4.726,2.514,2.909,2.952,2.99,3.022,3.043,3.052,3.045,3.023,2.988,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,7.272,6.639,6.12,6.039,5.953,5.864,5.774,5.686,5.6,5.519,5.442,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2.067,2.2,1.989,1.993,1.998,2.001,2.003,2.003,1.999,1.994,1.987,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.997,2.542,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,2.247,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,2.544,1.648,1.724,1.725,1.728,1.732,1.738,1.744,1.75,1.755,1.758,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,2.249,1.872,1.779,1.795,1.813,1.834,1.854,1.872,1.886,1.896,1.901,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.902,1.756,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.46,1.36,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47,1.46,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,2.74,2,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73,1.8,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,2.64,2.073,1.847,1.828,1.81,1.794,1.782,1.771,1.762,1.752,1.743,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,3.732,2.795,2.139,2.118,2.098,2.078,2.056,2.033,2.01,1.987,1.964,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,4.495,3.169,2.273,2.228,2.188,2.152,2.12,2.09,2.062,2.036,2.011,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.74,1.775,1.665,1.645,1.63,1.62,1.614,1.613,1.615,1.619,1.623,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.913,1.317,1.515,1.62,1.668,1.696,1.724,1.733,1.541,1.448,1.382,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.62,1.67,1.81,1.8,1.76,1.74,1.7,1.68,1.65,1.62,1.57,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belize,BLZ,4.508,3.601,2.638,2.588,2.539,2.489,2.439,2.391,2.346,2.307,2.274,..
